,股票名称,股票代码,公告信息
1,以岭药业,002603,　　以岭药业晚间公告，公司收到新加坡卫生科学局（HSA）核准签发的“中成药”注册批文，批准公司药品连花清瘟胶囊符合新加坡中成药标准注册。
2,四维图新,002405,　　四维图新晚间公告，公司控股子公司中寰卫星与一汽解放、一汽创新基金、罗思韦尔、知行家签署股东协议，共同投资设立“鱼快创领智能科技（南京）有限公司”，进一步开展商用车联网业务，加强各方互信互利，共同开拓商用车后市场。合资公司注册资本为1亿元，其中中寰卫星出资3500万元，占注册资本的35%。
3,德宏股份,603701,　　德宏股份晚间披露公司成为一汽吉林供货商的进展公告，近日，公司收到一汽吉林首次正式下发的R8项目500台发电机调件任务单，公司将根据交付时间及时组织安排生产。本次批量供货订单是公司成为一汽吉林供货商后首次接到其乘用车发电机批量订单，是公司开拓乘用车市场的新突破，将对公司今后拓展乘用车市场产生积极影响。
4,南卫股份,603880,　　南卫股份晚间公告，公司近日获二类医疗器械注册证书，可以生产销售一次性使用医用口罩，注册证有效期为一年。该事项预计会对公司的经营业绩产生一定的积极影响，但上述产品的实际生产销售情况受多重因素的影响，尚无法预测其对公司未来业绩的具体影响。
5,和邦生物,603077,　　和邦生物晚间公告，公司拟以集中竞价交易方式回购公司股份，回购股份资金总额不低于3亿元，不超过6亿元。回购价格不超过2.18元/股。拟回购股份50%用于员工持股计划；50%用于转换上市公司发行的可转换为股票的公司债券。
6,包钢股份,600010,　　包钢股份晚间公告，公司控股股东包钢集团计划未来12个月内通过上海证券交易所交易系统增持公司股份，金额不低于20亿元、不高于40亿元。
7,国恩股份,002768,　　国恩股份晚间公告，公司拟设立全资子公司青岛国恩熔喷产业有限公司，并拟以自有资金2亿元投资建设20条熔喷无纺布生产线项目，致力于打造高端熔喷无纺布产业链。其中一期拟建设8条熔喷无纺布生产线，总投资不超过8000万元，二期项目将根据一期项目建设进度以及市场需求情况进行规划。
