,股票名称,股票代码,公告信息
1,大立科技,002214,　　大立科技晚间披露一季报，一季度营收3.05亿元，同比增长334.12%；净利润1.15亿元，同比增长880.81%。
2,亚太股份,002284,　　亚太股份晚间公告，公司收到长安新能源的零部件定点通知书，公司将作为长安新能源的零部件开发和生产供应商，开发和生产EPA-1项目的电子驻车ECU总成等产品。公司在接到通知后将立即开展后续工作，制定详细的开发计划等，以确保满足整车开发周期及产品质量。
3,华明装备,002270,　　华明装备晚间披露一季报，一季度营收2.22亿元，同比下滑10.26%；净利润1.75亿元，同比增长393.89%。
4,塔牌集团,002233,　　塔牌集团晚间公告，公司非公开发行股票募集资金投资项目——2×10000t/d新型干法熟料水泥生产线新建工程（含2×20MW纯低温余热发电系统）项目第二条生产线，于4月29日顺利点火试生产成功，这标志着该项目全面建成。
5,国统股份,002205,　　国统股份晚间公告，收到国务院国有企业改革领导小组办公室下发的《关于加快推动“科改示范企业”实施综合改革有关事项的通知》，公司的改革方案和工作台账已完成向国务院国有企业改革领导小组办公室备案的工作，正式入选204户“科改示范企业”名单。
6,市北高新,600604,　　市北高新晚间披露一季报，2020年第一季度公司实现营收7.09亿元，同比增长655.12%；净利润1.65亿元，同比增长1283.24%。报告期内，园区产业载体销售增加，市北高新预计上半年经营业绩与上年同期相比仍将大幅上升。
7,中远海科,002401,　　中远海科晚间公告，公司与阿里云签署了战略合作协议，双方同意就智慧城市、智慧交通、智慧航运、智慧综合物流、区块链和企业数字化转型等领域进行产品与技术、解决方案与服务、市场联合营销与拓展等全方位的交流与合作，以共同推进相关领域云服务业务的发展。
