,股票名称,股票代码,公告信息
1,润和软件,300339,　　润和软件（300339）在互动平台表示，公司与蚂蚁集团合作持续完善“新一代分布式金融核心系统”的产品研发，并以业务中台为核心基础，持续推出融移动银行、智慧银行、数字银行为一体的金融科技解决方案产品及运营平台。
2,深高速,600548,　　深高速（600548）9月17日晚间公告，招商公路及其全资子公司佳选控股于2018年7月至2020年9月期间，通过集中竞价方式增持公司A股217.72万股、H股1965万股。截至2020年9月17日，招商公路及佳选控股合计持有公司股份1.09亿股，占公司总股本的5%。未来12个月内，招商公路及佳选控股拟适时继续增持公司股份。
3,高盟新材,300200,　　高盟新材（300200）在互动平台表示，目前子公司武汉华森已取得恒大新能源汽车的供应商代码，成为恒大新能源汽车的正式供应商。关于恒驰汽车的具体合作业务正在洽谈中，预计未来对公司业绩的影响具有不确定性。
4,华兰生物,002007,　　华兰生物（002007）9月17日晚间公告，公司当日收到国家药监局下发的“重组Exendin-4-Fc融合蛋白注射液”药物临床试验批准通知书。重组Exendin-4-Fc融合蛋白注射液的适应症为II型糖尿病患者，辅助饮食和运动治疗改善血糖控制。
5,京新药业,002020,　　京新药业（002020）9月17日晚间公告，公司控股子公司杭州京瑞提交的“沙美特罗替卡松吸入粉雾剂”获药物临床试验批准通知书。沙美特罗替卡松吸入粉雾剂主要用于可逆的气道阻塞性气道疾病的规律治疗。
6,中颖电子,300327,　　中颖电子（300327）9月17日晚间公告，公司计划为控股子公司芯颖科技引入投资者进行增资。增资完成后，公司仍为其控股股东，仍纳入合并报表范围。芯颖科技致力于显示驱动芯片的设计与开发，重点聚焦OLED显示屏驱动芯片，目前已掌握AMOLED显示驱动芯片设计的核心技术，产品主要用于手机和可穿戴产品的屏幕显示驱动。
