,股票名称,股票代码,公告信息
1,火炬电子,603678,　　火炬电子（603678）9月21日晚披露回购股份预案，回购资金总额为不超过3000万元，回购价格不超过55元/股。本次回购的股份拟用于公司实施员工持股计划或进行股权激励。
2,明阳智能,601615,　　明阳智能（601615）9月21日晚公告，公司副董事长兼首席战略官沈忠民、董事兼首席运营官和首席技术官张启应、董事兼首席行政官王金发、首席财务官梁才发、副总裁程家晚、副总裁鱼江涛、杨璞等12人，拟6个月内通过集中竞价交易方式增持公司股份，增持金额分别不低于30万元，不超过60万元。
3,隆基股份,601012,　　隆基股份（601012）9月21日晚公告，公司当日与丽江市人民政府签订《单晶硅棒三期项目（年产10GW单晶硅棒建设项目）投资协议》，就公司在丽江新增投资建设年产10GW单晶硅棒项目达成合作意向。公司全资子公司华坪隆基为上述项目的投资和运营主体，投资概算预计约25亿元。该项目投产后有利于公司进一步提升高效单晶硅棒产能，抢抓光伏市场发展机遇，不断提高市场规模和竞争力。
4,江河集团,601886,　　江河集团（601886）9月21日晚公告，公司全资子公司北京江河幕墙系统工程有限公司，近日收到天津康汇医院外檐幕墙项目中标通知书，项目中标金额为2.43亿元，约占公司2019年度营业收入的1.29%。
5,新洋丰,000902,　　新洋丰（000902）9月21日晚间披露前三季度业绩预告，预计盈利7.23亿元至8.03亿元，同比增长12.63%—25.08%。2020年以来，玉米、水稻、小麦等农产品的价格均有不同程度的上涨，农民种植意愿增强，种植效益提升，促进了肥料需求回暖。
6,华邦健康,002004,　　华邦健康（002004）9月21日晚间公告，公司以4000万元认购普瑞金药业新增注册资本68353元；同日，公司以1.33亿元收购张一卓持有的普瑞金药业9.9310%的股权。本次交易完成后，公司直接持有普瑞金药业12.91%的股权。同时公司出资5000万元入伙冠诺投资并成为其有限合伙人，与其多名普通合伙人共同参与投资产业基金，专注于与大健康及智慧医疗、智能科技产业相关的股权投资。
7,中科创达,300496,　　中科创达（300496）9月21日晚间披露前三季度业绩预告，预计盈利2.79亿元至3.11亿元，同比增长80%-100%。公司坚持贯彻全球化战略，受益于公司产品化程度持续提升，软件IP竞争力加强，报告期内公司收入及净利润均保持了较快增长。
