,股票名称,股票代码,公告信息
1,正邦科技,002157,　　正邦科技（002157）10月12日晚间披露前三季度业绩预告，预盈54.17亿元至56.17亿元，同比增长10679.87%-11077.85%。报告期内，公司业绩大幅增长主要来自于公司生猪养殖业务。
2,梅花生物,600873,　　梅花生物（600873）10月12日晚披露股份回购方案，回购资金总额不低于2亿元，不高于4亿元，回购股份用于减少注册资本、后续实施股权激励计划或员工持股计划。
3,道恩股份,002838,　　道恩股份（002838）10月12日晚间披露前三季度业绩预告，预盈7.62亿元至8.04亿元，同比增长500.12%—533.29%。凭借公司在熔喷料领域的积累和良好口碑，公司防疫物资熔喷料销量大幅增加，同时公司研发的部分新产品投产。
4,德利股份,605198,　　德利股份（605198）10月12日晚公告，公司拟回购部分H股股份，回购股份数量不超过公司H股已发行总股本数量的10%。公司完成回购后，将尽快注销回购的H股股份，公司相应减少注册资本。
5,金科环境,688466,　　金科环境（688466）10月12日晚公告，公司于近日收到中标通知书，通知公司与江苏申新联合体为张家港市第四水厂深度处理改造工程纳滤系统采购及相关服务项目的中标单位，中标金额1.998亿元。
6,东方航空,600115,　　东方航空（600115）10月12日晚公告，控股股东东航集团于10月12日签署增资协议，以推进东航集团股权多元化改革。国寿投资控股向东航集团增资110亿元，上海久事（集团）有限公司向东航集团增资100亿元，中国国新资产管理有限公司和中国旅游集团分别向东航集团增资50亿元，以上合计310亿元。此次增资资金主要用于扩大企业经营规模，做强做优做大航空主业。
7,中集集团,000039,　　中集集团（000039）10月12日晚间公告，公司股东签署《股份转让协议》。完成后，深圳资本集团及其子公司深圳资本（香港），在公司表决权比例占公司总股本的29.74%，将成为公司的第一大股东。公司在本次股份转让完成后仍无控股股东和实际控制人。
