,股票名称,股票代码,公告信息
1,哈尔斯,002615,　　哈尔斯晚间披露回购股份方案，拟用自有资金不少于3000万元，且不超过6000万元回购部分股份，回购股份将用于实施员工持股计划或股权激励，回购价格不超过7.59元/股。
2,三星医疗,601567,　　三星医疗晚间公告，公司全资子公司巴西南森在巴西NEO中标一电能表项目以及与哥伦比亚UT签署了一项智能电表项目合同，两项业务合计总金额约为1.79亿元，占公司2018年营业收入的3.05%。
3,长阳科技,688299,　　长阳科技晚间披露年报，公司2019年实现营业收入9.10亿元，同比增长31.72%；净利润1.43亿元，同比增长60.99%。基本每股收益0.64元。公司拟每10股派发现金红利1.60元（含税）。公司主营业务收入及净利润增长较快，近四年主营业务收入复合增长率为33.76%，净利润复合增长率为74.90%。
4,禾丰牧业,603609,　　禾丰牧业晚间公告，预计公司2020年第一季度实现的净利润在2.8亿元至2.9亿元之间，同比增长98.58%到105.67%。报告期内，饲料业务量利双增，总销量同比增长47%；受益于生猪价格高位运行，公司生猪养殖业务为一季度利润贡献增量。
5,洲际油气,600759,　　洲际油气晚间披露非公开发行预案，拟募集资金总额不超过13.6亿元，用于电池技术国际科创中心项目、高能量密度微型电池产业化项目、高倍率快充电池暨新能源汽车48V启停电源产业化项目和偿还借款。本次发行后，公司的主营业务将在油气勘探开发的基础上，增加新能源动力电池、微型电池、储能电池的研发、生产及销售业务，公司的主营业务将发生一定的变化。
6,延安必康,002411,　　延安必康晚间公告，全资孙公司必康新沂取得了江苏省药品监督管理局颁发的医疗器械注册证及医疗器械生产许可证，产品名称为医用外科口罩及II 类：14-14-医护人员防护用品，发证日期为2020年4月10日，有效期至2021年4月9日。
7,*ST安凯,000868,　　*ST安凯晚间发布公告称，收到合肥市土地储备中心拨付的国有土地收储首笔补偿款共计1.63亿元，将对公司主要财务指标产生积极的影响，公司将按照相关规定，对上述收储补偿款进行相应的会计处理。
