,股票名称,股票代码,公告信息
1,网达软件,603189,　　网达软件晚间披露非公开发行股票预案，拟募集资金总额不超过8.02亿元，用于高新视频服务平台项目、AI视频大数据平台项目和补充流动资金。
2,古越龙山,600059,　　古越龙山晚间公告，公司拟通过非公开发行股票的方式引入前海富荣、盈家科技作为公司的战略投资者。战略投资者及其关联方通过运营“乐百氏”、“安吉尔”等品牌，具有完善的快速消费品及相关行业，特别是食品饮料领域的销售渠道，并在品牌建设方面具有丰富经验，各方可以在品牌建设、渠道推广、公司治理、人才交流等方面与公司优势互补，长期支持公司经营、发展。
3,振东制药,300158,　　振东制药晚间公告，近日，公司下属全资子公司安特生物，收到国家药品监督管理局核准签发的关于卡托普利片25mg规格的《药品补充申请批件》，该药品通过仿制药质量和疗效一致性评价。卡托普利片为竞争性血管紧张素转换酶抑制剂，临床适应症为高血压、心力衰竭。
4,中南传媒,601098,　　中南传媒晚间公告，全资子公司湖南省新华书店近日与湖南省教育厅签订《政府采购合同协议书》，合同总价8.45亿元。通过本次采购合同的签订，公司继续成为2020年度湖南省义务教育免费教科书和既定的教学辅助学习资源（小学一年级学生字典等）的供应商， 确保了公司主营业务收入的稳定性，对公司2020年度的生产经营产生积极影响。
5,瀚川智能,688022,　　瀚川智能晚间公告，公司全资子公司皓星投资，拟与猎鹰投资及其他有限合伙人出资发起设立厦门辰星鹰为创业投资合伙企业，重点投资智能制造、工业互联网、先进制造和装备领域的科技型初创企业或具有高成长性的中早期项目。本次拟投资设立的投资基金目标募集规模为5000万元，公司全资子公司皓星投资拟以自有资金认缴出资1500万元，出资比例30%。
6,首创股份,600008,　　首创股份晚间公告，拟公开发行不超过20亿元的可续期公司债券，用于补充营运资金及置换存量有息负债。
7,东土科技,300353,　　东土科技晚间公告，公司与国创中心签署战略合作协议，拟就汽车电子和汽车操作系统开展合作，共同推进软件定义汽车的产业落地。由东土科技提供汽车操作系统，国创中心和东土科技联合开发智能汽车控制器、中央网关等产品和解决方案，在国创中心共用技术与共享平台的引领下，促进行业内企业进行联合研发，实现前瞻关键技术的国产化。
