,股票名称,股票代码,公告信息
1,苏美达,600710,　　苏美达（600710）11月17日晚间公告，公司控股股东国机集团拟通过协议转让方式，收购其控制的国机重工及常林有限分别持有的公司9.34%、1.53%股份。此次股份转让如实施，国机集团直接持有公司股份将增至4.46亿股，占公司总股本的34.1%，国机集团仍为公司控股股东及实控人，国机重工将不再直接持有公司股份。国机重工、常林有限均为国机集团的一致行动人。
2,通威股份,600438,　　通威股份（600438）11月17日晚间公告，公司下属公司拟与包头美科硅能源有限公司签订重大销售框架合同，美科硅能源拟于2021年1月至2023年12月期间向公司下属公司采购多晶硅产品合计6.88万吨，产品价格随行就市。此外，公司下属公司拟与天合光能（688599）签订重大销售框架合同，合同约定2021年1月-2023年12月期间，天合光能向通威股份下属公司采购多晶硅合计约7.2万吨。
3,德展健康,000813,　　e公司讯，德展健康（000813）11月17日晚间公告，公司控股股东美林控股及其一致行动人凯世富乐9号，拟分别将持有的公司9.44%股份和3.05%股份转让给凯迪投资，同时美林控股拟将所持公司3.05%股份的表决权委托给凯迪投资。若此次转让全部实施完成，凯迪投资将成为公司控股股东，公司实控人将变更为新疆国资委。公司股票11月18日复牌。
4,博敏电子,603936,　　博敏电子（603936）17日晚间公告，公司高端PCB产能已不能满足市场快速发展的需求，公司拟与梅州市梅江区政府签署协议书，在广东增城（梅江）产业转移工业园投资新一代电子信息产业投资扩建项目，计划投资总额30亿元以上。项目正式动工之日起计3年内实现首期投产、3年内实现全部建成投产。此外，公司控股子公司江苏博敏决定在原电子电路板项目第一工厂建成投产的基础上，启动第二工厂建设，计划总投资约20亿元。
5,中核钛白,002145,　　中核钛白（002145）11月17日晚间公告，公司当日与攀枝花市政府签订战略合作框架协议，希望依托攀枝花地区丰富的钒钛磁铁矿资源，在攀枝花投资打造钒钛产业集群。公司拟在攀枝花设立独立法人企业，全面实施在攀枝花地区的投资，计划在攀枝花完成总投资约150亿元（含以基金、并购贷款等方式的投资），重点在“钛资源+氧化钛+金属钛”领域开展投资。
6,惠程科技,002168,　　惠程科技（002168）11月17日晚间公告，近日公司与国网信通产业集团就建立战略合作关系及交流合作常态机制达成共识，并签订了《战略合作协议》，双方拟围绕人工智能创新、智能产品创新等领域开展合作。其中，惠程科技积极参与国网信通产业集团在新能源城配物流运营等领域的混改工作，为国网信通产业集团相关业务带入战略性资源、资本。
