,股票名称,股票代码,公告信息
1,蒙娜丽莎,002918,　　蒙娜丽莎晚间公告，公司拟非公开发行股票，发行价格为18.43元/股，募集资金总额不超过5.6亿元，募集资金净额将全部用于补充流动资金。深圳市碧桂园创新投资有限公司作为战略投资者拟认购2713万股，认购金额约为5亿元。
2,特锐德,300001,　　特锐德晚间公告，公司于近日收到ABB Switzerland Ltd．（以下简称“ABB”）签发的《中标通知书》，中标产品为预制舱式模块化变电站，中标总金额约2.02亿元人民币，约占公司最近一期经审计年度销售收入的3%。
3,华润三九,000999,　　华润三九晚间公告，近日，公司收到《国务院国有企业改革领导小组办公室关于加快推动“科改示范企业”实施综合改革有关事项的通知》，公司正式入选“科改示范企业”名单。公司将根据有关政策文件精神，持续推进改革事宜，升级创新体系，推动公司实现高质量发展。
4,宝钛股份,600456,　　宝钛股份晚间公告，公司拟通过非公开发行股票引入朱雀基金管理有限公司、陕西金资基金管理有限公司、严建亚、陕西省成长性企业引导基金管理有限公司、王艳作为战略投资者。宝钛股份本次非公开发行募集资金总额不超过23亿元，投资于高品质钛锭、管材、型材生产线建设项目等。
5,卓翼科技,002369,　　卓翼科技晚间公告，公司于近日与厦门火炬高技术产业开发区管委会、厦门市同安区政府签署了《战略合作框架协议》，拟投资建设智能穿戴设备智能制造基地及配套科研基地项目，初步规划第一期投入5亿元进行项目建设，拟于5年内形成年产值30亿元的规模，带动火炬高新区同安片区高端制造产业升级。
6,新乳业,002946,　　新乳业晚间披露重大资产购买报告书，公司拟支付现金收购寰美乳业60%的股权，产交易作价10.27亿元。寰美乳业业务经营区域主要位于宁夏、陕西、甘肃等地，交易后公司业务覆盖区域将拓展至西北地区。新乳业同日晚间披露公开发行A股可转换公司债券预案，公司拟募资不超过7.18亿元投资于收购寰美乳业40%股权项目及补充流动资金。
7,岭南股份,002717,　　岭南股份晚间公告，拟将其控股子公司恒润科技分拆至深交所创业板上市，本次分拆完成后不会影响对子公司恒润科技的控制权。
