,股票名称,股票代码,公告信息
1,中集集团,000039,　　中集集团8月2日晚间公告，控股子公司中集车辆拟于境内首次公开发行并在创业板上市交易的申请获得深交所受理。
2,福田汽车,600166,　　福田汽车8月2日晚间公告，7月份，汽车销量合计61976辆，上年同期37191辆；产量66565辆，上年同期34733辆。1-7月份，汽车销量累计382144辆，同比增长23.49%；产量累计369957辆，同比增长20.67%。
3,南玻A,000012,　　南玻A8月2日晚间公告，全资子公司吴江南玻、东莞南玻与隆基股份子公司隆基乐叶光伏科技有限公司、浙江隆基乐叶光伏科技有限公司等于7月31日签订了关于光伏玻璃的销售协议。预估合同金总额约65亿元，合同期5年，年均销售金额占公司2019年营业收入约12.41%。
4,天际股份,002759,　　天际股份8月2日晚间公告，近日公司全资子公司新泰材料与江苏国泰（002091）孙公司国泰华荣签订《六氟磷酸锂战略合作协议》。国泰华荣承诺优先从新泰材料采购锂盐，并确保全年采购量的60%-80%给到新泰材料，2020年确定从新泰材料采购不少于2500吨锂盐，2021年-2025年的采购量在2020年基础上复合增长率不少于20%。新泰材料承诺优先确保国泰华荣采购需求，后期随着其需求增长同步扩大产能。
5,嘉友国际,603871,　　嘉友国际8月2日晚间发布公开发行可转换公司债券发行公告，此次共发行7.2亿元可转债，每张面值为人民币100元，共计720万张，72万手，按面值发行。债券简称为为“嘉友转债”，债券代码为113599。初始转股价格为24.82元/股。此次发行的原股东优先配售日和网上申购日为2020年8月5日（T日），2020年8月5日（T日），在上交所交易系统的正常交易时间进行。网上路演时间：2020年8月4日（周二）14：00-16：00。
6,富祥药业,300497,　　富祥药业7月31日晚间披露2020年半年度报告，实现营业收入8.16亿元，同比增长37.82%；归属于上市公司股东的净利润2.19亿元，同比增长92.00%；归属于上市公司股东的扣除非经常性损益后的净利润2.08亿元，同比增长95.77%；基本每股收益0.49元。
