,股票名称,股票代码,公告信息
1,上机数控,603185,　　上机数控（603185）11月29日晚间公告，公司全资子公司弘元新材与东方日升（常州）进出口有限公司就“单晶硅片”的销售签订合同。合同预计2021-2023年，对方总计向公司子公司采购22.5亿片单晶硅片，上下浮动不超过10%。其中2021年采购4.5亿片，2022年采购8亿片，2023年采购10亿片。预计销售金额三年总计约113.63亿元（含税），不含税为100.55亿元。
2,金字火腿,002515,　　金字火腿（002515）11月29日晚间公告，公司拟以公开拍卖的方式，整体转让中钰资本股权回购款剩余债权4.34亿元。公司实控人或其关联方将参与竞拍，并计划以3亿元的价格受让债权。金字火腿表示，拍卖若以3亿元成交，成交价格与账面原值差额为1.34亿元；公司前期已经计提坏账准备5613.33万元及暂列递延收益5487.60万元，共计1.11亿元。
3,康尼机电,603111,　　康尼机电（603111）11月27日晚间公告，公司收到江苏省南京市中级人民法院出具的《刑事判决书》，法院认为，被告人廖良茂在签订、履行合同过程中，骗取对方当事人财物，数额特别巨大，其行为已构成合同诈骗罪。判决廖良茂犯合同诈骗罪，判处无期徒刑，剥夺政治权利终身，并处没收个人全部财产。责令被告人廖良茂退出犯罪所得19.33亿元，发还被害单位康尼机电。本次判决为一审判决，公司获悉被告人已提起上诉。
4,太阳电缆,002300,　　太阳电缆（002300）11月27日晚间公告，公司与漳州市政府签署了《战略合作框架协议》，双方紧密协作，建设太阳电缆海缆项目。拟选址位于漳州市龙海市，规划总用地500亩，总投资15亿元。
5,彩虹股份,600707,　　连续三日涨停的彩虹股份（600707）11月27日晚间公告，公司目前生产经营活动正常，不存在应披露而未披露的重大信息。经过一段时间的价格快速上涨，面板厂的盈利得到有效改善，同时，随着旺季备货需求的回落，加之面板价格的大幅上涨对需求端的影响将逐步显现，主流尺寸面板价格虽维持上涨的趋势，但涨幅将可能收窄，公司未来产品价格波动存在不确定性。
6,宁波建工,601789,　　宁波建工（601789）11月27日晚间发布公告，控股子公司市政集团为宁海智能汽车小镇基础设施 PPP 项目（施工）中标单位，中标价：中标下浮率约为4%，下浮后中标价7.27亿元。
7,英唐智控,300131,　　英唐智控（300131）11月27日晚间公告，公司11月27日与中天弘宇、中宇天智签署了《合作协议书》，加快新型闪存技术在电源管理芯片及其他相关产业的产业化进程。英唐智控介绍，中宇天智拥有自主知识产权的嵌入式闪存IP，在全球嵌入式闪存尚未突破28nm的背景下，中宇天智的嵌入式闪存具备理论上可微缩到5nm的工艺制程的条件，并且性能价格比优于市场上同类IP。同属世界首创技术。
