,股票名称,股票代码,公告信息
1,东软载波,300183,　　东软载波(300183)11月8日晚间公告，公司股东崔健、胡亚军、王锐签订股权转让框架意向协议，拟于2020年度及2021年度内，向佛山市澜海瑞盛股权投资合伙企业合计转让其持有的公司不超过8590.75万股，约占目标公司股份总数的18.57%。若本次交易最终完成，可能涉及公司控股股东、实际控制人发生变更。佛山市澜海瑞盛股权投资合伙企业的实控人为佛山市南海区国资局。
2,锐明技术,002970,　　锐明技术(002970)11月8日晚间公告，公司与汉中市政府、陕西汽车控股集团有限公司、深圳市航盛电子股份有限公司共同在深圳签订《汽车电子产业战略合作框架协议》。各方将围绕“十四五”规划、汽车新四化、智能座舱、智能网联、新能源与电动化等领域，全面开展合作，协同发展汽车电子产业。
3,中欣氟材,002915,"　　中欣氟材(002915)11月8日晚披露定增预案，公司拟募集资金总额不超过5.2亿元，投资于年产5000吨4,4’-二氟二苯酮项目、福建高宝矿业有限公司氟精细化学品系列扩建项目并补充流动资金。中欣氟材介绍，募投项目围绕公司主营业务展开，是公司现有产品的拓展与延伸。"
4,南新制药,688189,　　南新制药(688189)11月8日下午公告，拟通过发行股份及支付现金的方式购买内部重组完成后的兴盟苏州100%股权。交易各方初步商定标的资产预估值不超过26.715亿元。同时，南新制药拟通过询价方式非公开发行股份募集配套资金。标的公司目前在研产品包括4个生物创新药和5个生物类似药，覆盖抗感染、肿瘤、自身免疫性疾病等领域。本次交易有助于上市公司快速切入生物药领域。公司股票将于11月9日复牌。
5,富森美,002818,　　11月8日，富森美(002818)与阿里巴巴旗下家居制造平台“躺平智造”战略签约，双方将合作布局家居产业C2M生态。富森美将携商场平台上数十个头部品牌，借助躺平智造提供的全屋定制供应链和赋能工具，贯通生产-销售全链路，推动线下+线上一体化。富森美指出，与躺平智造合作，将着眼于整合双方优势，实现“产品+服务”新模式的落地生根。富森美将瞄准90后新消费群体，着力推进上市公司第二增长曲线。
6,华宇软件,300271,　　华宇软件(300271)11月6日晚间公告，实际控制人邵学和股东任刚、王莉丽合计拟转让公司5.028%股权给中移资本。中移资本，由中国移动全资持股，是中国移动进行股权投资和资本运作的平台。成为公司战略投资者后，中移资本将会推进公司与中国移动通信集团建立战略合作关系，促成并协调中国移动各方资源支持公司及其关联方业务发展。
7,恺英网络,002517,　　恺英网络(002517)11月6日晚间公告，近日，控股子公司绍兴盛意与腾讯计算机签订《<蓝月传奇2>独家代理协议》，绍兴盛意将移动终端版本游戏《蓝月传奇2》在中国大陆地区的独家代理权授予腾讯计算机。合同期限为合同生效日开始，截至授权产品商业化上线满3年，本次合作协议的签署预计对公司本年度及未来会计年度营业收入和净利润等有积极影响。
