,股票名称,股票代码,公告信息
1,江苏神通,002438,　　江苏神通（002438）9月13日晚间公告，公司9月9日与中国核电工程有限公司就“R项目”设备订货事宜签署《设备供货合同》，合同总额1.5亿元（含税），约占公司2019年度营业收入的11.11%，合同的执行 将对公司2020-2021年度的经营业绩带来积极影响。
2,凯撒旅业,000796,　　凯撒旅业（000796）9月13日晚间公告，公司拟以现金1.51亿元，受让控股股东凯撒世嘉、关联方宁波凯撒合计持有的活力天汇（871860）2528万股股份，受让价5.99元/股。此次股份转让完成后，公司持有活力天汇16.96%股份。活力天汇是目前国内领先的在线票务查询及预订服务平台，公司与活力天汇在差旅业务等方面的协同合作已全面展开。此次增持活力天汇是公司布局国内旅游的一项重要举措。
3,中鼎股份,000887,　　中鼎股份（000887）9月13日晚间公告，子公司安徽特思通近期收到客户的通知，成为重庆理想汽车有限公司X01项目汽车热管理系统总成及中冷管总成产品的批量供应商。此次热管理系统总成及中冷管总成产品采用TFH领先的热管理系统总成技术，项目生命周期总金额约6.64亿元。
4,华瑞股份,300626,　　华瑞股份（300626）9月13日晚间公告，公司实控人孙瑞良及其夫人与梧州东泰签署《股份转让协议》，拟合计向梧州东泰转让公司1947.14万股股份（约占总股本的10.82%），转让价11.67元/股，总价款2.27亿元。孙瑞良另拟将所持公司19.17%股份对应的特定股东权利授权委托给梧州东泰行使。实施完成后，梧州东泰将成为公司控股股东，梧州市国资委会成为公司实控人。
5,石基信息,002153,　　石基信息（002153）9月13日晚间公告，全资子公司石基新加坡今日与香港上海大酒店管理服务有限公司签订协议，约定公司将为香港上海大酒店有限公司旗（金麒麟分析师）下半岛酒店以SaaS服务的方式提供新一代云架构的企业级酒店信息管理系统Shiji Enterprise Platform，其是一套替换现有酒店信息管理系统（PMS）和中央预订系统（CRS）的新一代整体解决方案。
6,乐心医疗,300562,　　乐心医疗（300562）9月13日晚间披露业绩预告，公司今年前三季度预盈5018万元–5771万元，同比增长100%-130%。其中，第三季度公司预盈2496万元–3248万元，同比增长91%-149%。报告期内，公司针对运动健康、慢病管理等领域为客户提供健康IoT与智能健康整体解决方案战略，行业保持良好增长态势。公司在智能手环、手表等项目上与新的战略大客户合作，持续加大创新研发投入。
7,会畅通讯,300578,　　会畅通讯（300578）9月13日晚间公告，公司拟向特定对象发行A股股票，募资总额不超过11.16亿元，用于超视云平台研发及产业化项目、云视频终端技术升级及扩产项目、研发中心建设项目等，以增强新一代云视频产品研发、生产能力。
