,股票名称,股票代码,公告信息
1,老板电器,002508,　　老板电器（002508）3月19日晚间公告，公司于近日收到杭州市余杭区经信局以及杭州市余杭区财政局下发的《关于下达杭州老板实业集团有限公司2018年度企业培育财政扶持资金的通知》，公司获得政府补助5385.91万元，将全额计入当期年度损益，预计将对公司2020年度业绩产生正面影响。
2,百合花,603823,　　百合花（603823）3月19日晚间公告，公司的有机颜料产品被列入出口退税的商品清单，出口退税率由0%提高至13%。有机颜料产品是公司主要产品之一，2018年度，公司直接出口营业收入3.96亿元，本次提高出口退税的产品主要系公司有机颜料产品，2018年度涉及本次出口退税率调整的产品的出口营业收入为3.73亿元，占公司直接出口营业收入的94.05%，占公司总营业收入的20.56%。
3,厦门港务,000905,　　厦门港务（000905）3月19日晚间披露年报，公司2019年实现营业收入141.55亿元，同比增长5.70%；净利润8562.92万元，同比增长239.81%，基本每股收益0.16元。公司拟向全体股东每10股派发现金红利0.15元（含税）。净利润同比增长主要系：散货码头吞吐量上升；公司子公司三明港发转让持有的港务建设35%股权产生投资收益，期货以及合营联营企业投资收益增加等所致。
4,北新路桥,002307,　　北新路桥（002307）3月19日晚间公告，公司被确定为重庆巫溪至巫山高速公路巫溪至大昌段工程PPP项目社会投资人第一中标候选人，建设分担出资11.27亿元，补贴年限180月，运营年限360月。
5,宝钛股份,600456,　　宝钛股份（600456）3月19日晚间披露年报，公司2019年实现营业收入41.88亿元，同比增长22.80%；净利润2.4亿元，同比增长70.11%。每股收益0.56元。公司拟每10股派发现金股利2元（含税）。
6,通威股份,600438,　　通威股份（600438）3月19日晚间公告，公司拟在云南省保山市投资建设年产4万吨高纯晶硅项目，主要从事高纯晶硅的研发、生产和销售等，该项目总投资预计为40亿元，将于2020年上半年启动，预计2021年11月底前建成投产。项目投产后，预计实现营业收入30亿元/年。
7,雪莱特,002076,　　雪莱特（002076）3月19日晚间公告，公司被列入国家工信部第二批新冠肺炎疫情防控重点保障企业名单，同时，公司被佛山市工信局列入佛山市第一批疫情防控物资重点生产企业名单。紫外线杀菌灯系公司主营业务之一，2020年1月1日至今，公司紫外线杀菌灯形成销售发货约2400万元，占公司2019年紫外线杀菌灯销售收入的43%。目前公司紫外线杀菌灯订单充足，公司将继续全力做好防控重点物资的生产供应工作。
