,股票名称,股票代码,公告信息
1,博通集成,603068,　　博通集成（603068）8月5日晚间公告，公司拟以自有资金480万欧元收购出售方持有的Adveos的100%股权，同时以自有资金120万欧元对标的公司进行增资。交易完成后，公司持有Adveos的100%股权，为Adveos的唯一股东。Adveos及其研发团队在射频电路、模拟电路、混合信号等专用集成电路设计领域有丰富经验，已成为Intel、Cisco等多家客户的芯片方案提供商。通过收购Adveos，可有助于公司进一步积强化公司在智能家居、物联网及智慧交通领域的战略布局，提升公司的市场竞争力和长期盈利能力。
2,华北制药,600812,　　华北制药（600812）8月5日晚公告，公司子公司新药公司的重组人源抗狂犬病毒单抗注射液8月5日被国家药品审评中心纳入拟优先审评品种公示名单，公示期7日。重组人源抗狂犬病毒单抗注射液（rhRIG）是新药公司自主创新项目，被列为国家“重大新药创制”科技重大专项品种。目前，国内尚无重组抗狂犬病毒单抗药物上市销售。
3,芯能科技,603105,　　芯能科技（603105）8月5日晚间披露半年报，上半年，公司实现营收2.31亿元，同比增长48.18%；净利5271.85万元，同比增长300.49%；基本每股收益0.11元。报告期，得益于公司自持分布式光伏电站规模的不断扩大，规模效益逐步显现，公司发电业务收入和利润大幅提高。
4,拓尔思,300229,　　拓尔思（300229）8月5日晚间披露半年报，上半年，公司实现营业收入3.44亿元，同比下降18.05%；归母净利润4214.31万元，同比增长56.21%。报告期内，公司云和数据服务业务份额继续扩大，实现营业收入1.2亿元，同比增长17.71%，云和数据服务业务收入占营业总收入比例达34.7%，比上年同期增长10.54个百分点，战略升级成效显著。
5,瑞玛工业,002976,　　瑞玛工业（002976）8月5日晚间公告，公司近日收到中标函，成为博格华纳“SAIC上汽集团280双离合器变速箱项目”核心零部件的定点供应商。此次公司将自主开发产品模具，并按博格华纳供应给上汽集团280双离合器变速箱产品的要求进行量产供货。根据博格华纳对该项目产品的数量预测，在该项目核心零部件供应周期（2020年至2027年）内，预计需要公司供应的新增产品销售额约1.42亿元。
6,正邦科技,002157,　　正邦科技（002157）8月5日晚间公告，7月销售生猪91.18万头（其中仔猪38.79万头，商品猪52.39万头），环比增长31.37%，同比增长63.12%；销售收入31.29亿元，环比增长34.67%，同比增长247.34%。1-7月，公司累计销售生猪363.72万头，同比下降0.42%；累计销售收入138.41亿元，同比增长155.57%。
7,江苏吴中,600200,　　江苏吴中（600200）8月5日晚间公告，因苏州市吴中经济开发区规划调整及待拍地块项目建设的需要，公司下属江苏吴中医药集团有限公司中凯生物制药厂需实施拆迁。根据全资子公司江苏吴中医药集团有限公司签署的拆迁补偿协议，拆迁补偿总额约1.22亿元。此次拆迁补偿事宜对公司正常生产经营不构成重大影响。初步测算，此次实施拆迁补偿事宜预计将产生收益8000万元左右。
